I SELECTED THE MOST RECENT 1000 JOBS POSTED TO STACKOVERFLOW AND PULLED OUT ALL THE TAGS AND SORTED AND COUNTED THEM,
256,java
212,javascript
109,c#
106,c++
105,python
86,php
85,sql
69,linux
67,css
66,html5
64,mysql
61,ruby
60,angularjs
59,.net
52,html
50,ios
49,agile
48,node.js
48,android
45,ruby-on-rails
43,jquery
39,c
36,sysadmin
34,rest
34,css3
31,amazon-web-services
30,tdd
30,scrum
27,scala
26,git
24,unix
24,oop
23,postgresql
23,mobile
22,spring
22,objective-c
22,asp.net
21,java-ee
21,hadoop
20,frontend
18,sql-server
17,nosql
17,json
16,bigdata
15,testing
15,perl
14,selenium
14,puppet
14,cloud
14,asp.net-mvc
13,software
13,reactjs
13,oracle
13,hibernate
13,chef
13,backbone.js
12,sass
12,go
12,architecture
11,xml
11,web
11,redis
11,jenkins
11,elasticsearch
11,django
11,algorithm
11,ajax
10,windows
10,software-engineering
10,qa
10,mongodb
10,devops
10,cucumber
9,tomcat
9,symfony2
9,swift
9,soa
9,open-source
9,machine-learning
9,docker
9,database
8,xamarin
8,wcf
8,multithreading
8,development
8,developer
8,continuous-integration
8,backend
8,automated-tests
7,xcode
7,user-experience
7,unit-testing
7,twitter-bootstrap
7,statistics
7,stack
7,rabbitmq
7,jira
7,http
7,full
7,etl
7,continuous-delivery
7,coffeescript
7,bash
7,api
6,wpf
6,security
6,r
6,networking
6,lamp
6,infrastructure
6,cassandra
6,azure
6,aws
5,zend-framework
5,wordpress
5,web-services
5,vmware
5,virtualization
5,tcp
5,solr
5,responsive-design
5,model-view-controller
5,maven
5,laravel
5,junit
5,hpc
5,gradle
5,engineer
5,design
5,apache
5,ansible
5,analytics
5,ab-testing
4,web-applications
4,selenium-webdriver
4,sdlc
4,scalability
4,rdbms
4,openstack
4,nginx
4,microservices
4,integration
4,google-app-engine
4,github
4,erlang
4,entity-framework
4,eclipse
4,drupal
4,data-structures
4,data
4,cocoa
4,automation
3,zend
3,winforms
3,visualization
3,visual-studio
3,vb.net
3,user-interface
3,unity3d
3,ui
3,tsql
3,trading
3,tfs
3,teamcity
3,symfony
3,stl
3,spring-mvc
3,soap
3,shell
3,see
3,sas
3,salesforce
3,relational-database
3,project-management
3,powershell
3,playframework
3,performance
3,ood
3,object-oriented-analysis
3,nagios
3,modeling
3,management
3,magnolia
3,mac
3,lua
3,linux-kernel
3,knockout.js
3,jsf
3,js
3,hybris
3,hbase
3,groovy
3,fix
3,esb
3,engineering
3,embedded-linux
3,e-commerce
3,dropwizard
3,domain-driven-design
3,distributed
3,debian
3,cocoa-touch
3,bdd
3,automated-testing
3,apache-spark
3,apache-camel
3,3d
2,yii
2,years
2,wicket
2,webserver
2,web-development
2,web-analytics
2,watir
2,video-streaming
2,vagrant
2,uml
2,uikit
2,udp
2,ubuntu
2,typescript
2,thrift
2,tcpip
2,tcp-ip
2,tag
2,system-administration
2,system
2,svn
2,support
2,struts
2,startup
2,social-networking
2,sinatra
2,shopware
2,sharepoint-2013
2,sharepoint
2,servlets
2,sdk
2,scripting
2,sap
2,salt-stack
2,saas
2,ruby-on-rails-3
2,rspec
2,robotium
2,riak
2,requirejs
2,reporting-services
2,refactoring
2,redhat
2,rails
2,rackspace-cloud
2,quality
2,program
2,phpunit
2,php5
2,owasp
2,osgi
2,orm
2,opencl
2,oltp
2,office365
2,of
2,object-oriented-programming
2,npm
2,nlp
2,mvc
2,mpi
2,mocha
2,microsoft-dynamics
2,meteor
2,memcached
2,matlab
2,marketing
2,magento
2,kafka
2,jobs
2,jasmine
2,j2ee
2,it
2,istqb
2,hive
2,heroku
2,graphics
2,gerrit
2,full-stack
2,french
2,freebsd
2,firmware
2,finance
2,extreme-programming
2,extjs
2,execution
2,encryption
2,ember.js
2,embedded
2,doctrine
2,distributed-system
2,derivative
2,d3.js
2,cuda
2,core-data
2,concurrency
2,computer-vision
2,computer-science
2,compiler-construction
2,coding
2,cms
2,clojure
2,ci
2,centos
2,cakephp
2,c++11
2,bpel
2,bamboo
2,atlassian
2,angular
2,android-studio
2,agile-processes
2,ado.net
2,actionscript
1,zurb-foundation
1,xslt
1,xhtml5
1,xhtml
1,xdebug
1,xaml
1,x86
1,wsdl
1,wlan
1,with
1,wireless
1,windows-server-2012
1,windows-server-2008
1,windows-phone-8
1,windows-ce
1,winapi
1,white-box
1,websphere
1,webrtc
1,webpack
1,webobjects
1,webgl
1,webdeveloper
1,webapp2
1,web-frameworks
1,w3c
1,vxworks
1,vpn
1,visualstudio
1,visual-web-developer
1,vertica
1,vba
1,vaadin
1,ux
1,unreal-engine4
1,unreal-engine3
1,ui-automation
1,typo3
1,twitter-bootstrap-3
1,twitter
1,twilio
1,travis-ci
1,tpm
1,toplink
1,testlink
1,tester
1,test
1,telematics
1,technology
1,technical
1,techni
1,tech-lead
1,teamleider
1,teaching
1,tablet
1,tableau
1,t-sql
1,systems
1,system-verilog
1,system-integration
1,system-design
1,sysop
1,sys
1,sw
1,sugarcrm
1,stripes
1,storm
1,ssis
1,sql-server-administration
1,spss
1,sprite-kit
1,sports
1,spice
1,spi
1,spf
1,spark
1,spam
1,source-code-quality
1,soomla
1,solid-principles
1,solaris
1,softwareentwickler
1,software-design
1,smtp
1,single-page-application
1,silverlight
1,silenium
1,signalr
1,signal-processing
1,shopify
1,service
1,server-side
1,server-administration
1,seo
1,sencha-touch
1,searchenginer
1,sdn
1,scrummaster
1,scorm
1,scientific
1,sciene
1,scalaz
1,scada
1,sailpoint
1,rust
1,rup
1,rtos
1,rtb
1,robotlegs
1,rhel
1,retail
1,restkit
1,restful-architecture
1,restful
1,rest-api
1,responsive
1,respect-validation
1,research
